-63559625,397541
-173827500,62
-91504156,119435
-91504156,119322
-91504156,119302
-43253166,45729
-131373941,105
-106837767,23215
-97758272,1021603
-97758272,1019126
-97758272,1007021
-97758272,992854
-60210659,665491
-164186743,3833
-97758272,952305
-101076380,441
-101076380,432
-101076380,426
-101076380,422
-101076380,418
-101076380,415
-101076380,413
-101076380,410
-101076380,406
-50555905,133803
-78306918,4363
-32236025,57375
-77088121,35703
-101295534,569
-77088121,35682
192320852,5547
-174918970,34
-77088121,35635
-127383566,16472
-127383566,16471
-127383566,16470
-102115202,25700
-102115202,26619
-102115202,26598
-102115202,26593
-177931477,48
-58599531,25632
-91504156,119574
-91504156,119553
-129472665,18548
-127383566,16467
-127383566,16466
-127383566,16458
-127383566,16457
-127383566,16456
-127383566,16451
-93831308,4801
-125402945,21659
-125646614,40548
-125402945,21399
-125402945,21392
-77088121,35627
-77088121,35394
-48459993,247
-53705814,170
-104894839,148720
-118986731,6485
-126523996,25
-118124196,2628
-101380493,1001
-8747278,25698
-8747278,25373
-46360958,1149
-102923628,3054
-107965226,29720
-107965226,29712
-107965226,29665
-110578363,150873
-110578363,150778
-117756030,5553
-119270694,45481
-119270694,45480
-119270694,45479
-119270694,45474
-119270694,45473
-119270694,45472
-119270694,45463
-119270694,45462
-119270694,45461
-116985085,4225
-116985085,4179
-50512447,989408
-104331145,184621
-100203924,113746
-104331145,184477
-157473869,50
-50512447,934474
-90738149,13204
-90738149,13198
-90738149,13196
-126855931,1392
-100038451,1216
-108113587,50303
-108113587,50293
-91139779,2797
-91139779,2796
-91139779,2795
-91139779,2793
-91139779,2788
-91139779,2785
-91139779,2781
-91139779,2777
-116460414,90201
-174023583,89
-176443911,25
-52652367,24736
349335073,3111
-120967653,10349
-91640132,265352
-91640132,327441
-91640132,327356
-91640132,327341
-91640132,327304
-91640132,327260
-91640132,327248
-97758272,1048626
-97758272,1045847
-97758272,982542
-90335418,7802
-51365519,28700
-91504156,60193
-100203924,102055
-66997058,11462
-69814849,1634
-152070915,28
-79525017,1603142
-106880652,14916
-79525017,1601713
-102758590,47379
-99789161,36792
-30889232,749931
-111195279,4932
-160990525,108
-2158488,800199
-15792662,7968
-109537666,3615
-102387304,77379
-102387304,65845
-102387304,62050
-109537666,3828
-91504156,119635
-144968032,2358
15643327,4740
-127383566,16476
-127383566,16475
-127383566,16474
-117756030,5590
-119270694,45490
-119270694,45489
-119270694,45488
-91139779,2802
-162826093,61
-30731833,3397
63727718,3508
-106880652,14933
-102387304,60400
-109537666,3786
-46487993,393545
-116931591,43542
-116931591,43400
-116931591,42728
-116931591,42584
-116931591,42418
-116931591,42305
-116931591,42114
-116931591,41982
-177085455,113
-153292669,28117
-127374931,71162
-127374931,71110
-71500982,73306
-71500982,71754
-71500982,62710
-71500982,61300
-71500982,60746
-18955902,62377
-18955902,62237
-50512447,1571556
-102115202,26637
-102115202,26685
-58599531,25631
-63559625,303139
-79525017,1605894
-74197738,58722
-74197738,58712
-104851373,43605
-28992095,4130
-28023821,227333
-110578363,150978
-91139779,2805
-123047960,34643
-91640132,327563
-51883455,21981
-58599531,25597
-173935557,11
-139036774,562
-89677973,2235
-89677973,2305
-136589925,5003
-136589925,5002
-136589925,4997
-136589925,4996
-136589925,4995
-136589925,4994
-97758272,1507685
-97758272,1507506
-97758272,1284456
-97758272,1276902
-97758272,1280943
-97758272,1368842
-126419570,133359
-91640132,327579
-106880652,14965
-74197738,58732
-97758272,1504989
-97758272,1503183
-97758272,1501035
-65944405,369
-26516027,14143
-40018862,96533
-47574310,64289
-126984413,7140
-91177357,1478
-146340041,1940
-157786518,1156
-80368614,18917
-92179618,97174
-141324110,358
-139337990,3087
-176667068,44
-170810816,91
-169162456,402
-161211350,122
-174154152,138
-81905087,4311
-176667068,3
-176632996,6
-172653036,145
-57652708,7332
-176363321,56
-47574310,62483
-58578664,6869
-65944405,355
-11898317,25040
-48220038,22492
-161211350,111
-73662138,230732
-175556357,24
-172967370,99
-73662138,230118
-105799725,864
-31921175,2299
-91346964,3710
-139337990,3033
-136190411,205
-67153545,371176
-96310420,27367
-131227938,2106
-66169344,148
-40049583,268935
-6126147,4384
-60849972,86693
-89588789,102794
-81028279,60713
-87016969,127979
-93231009,711312
-105225704,3013
-172234680,82
-172176806,2933
-143448214,2295
-167601865,146
-78638623,6678
-139656276,3811
-69087365,15993
-153887125,302
-50121522,14873
-55945195,23886
-98929574,721499
-178080021,86
-122531107,3933
-100451793,416
-148911607,1715
-152557059,1421
-64017153,3919
-91504156,119959
-127383566,16481
-127383566,16480
-127383566,16479
-107965226,29859
-111747746,5282
-119270694,45501
-119270694,45500
-119270694,45499
-153292669,37834
-91640132,327640
-79525017,1607357
-106880652,14968
-173674660,129
-115594210,8297
-166003606,42
-102115202,26695
-74197738,58735
-97758272,1511409
-97758272,1300118
-97758272,1292296
-97758272,1481111
-97758272,1509623
-112215589,308
-142982980,336
-143093592,1284
-154569833,322
-169085922,4584
-130491633,25513
-89803680,1110
-49701961,39369
-151564818,155
-108482875,132941
-177268414,157
-70811987,72
-21826772,2658
-108482875,132954
-77088121,35782
-93831308,4823
-119270694,45508
-119270694,45507
-119270694,45506
-85127368,1219524
-136589925,5010
-136589925,5009
-136589925,5008
-89677205,34596
-97758272,1519809
-114105170,462
-129472665,18573
-127383566,16487
-127383566,16486
-127383566,16485
-93831308,4825
-107965226,29981
-107965226,29974
-178095730,11
-97758272,1526650
-155120228,85
-151564818,184
-91504156,120167
-91139779,2810
-117079200,2360
-69961088,1686
-50512447,1606438
-50512447,1590393
-50512447,1589034
-50512447,1601605
-39009769,470977
-39009769,471813
-39009769,471761
-39009769,471680
-39009769,471512
-39009769,471292
-9130628,2267
-39009769,471100
-39009769,471821
-39009769,471095
-39009769,471023
-39009769,470998
-39009769,470959
-39009769,470951
-39009769,470932
-39009769,470911
-39009769,470890
-39009769,471830
-39009769,470859
-39009769,470847
-39009769,470839
-39009769,470823
-39009769,470813
-39009769,470801
-39009769,470779
-39009769,470741
-39009769,470630
-39009769,471832
-39009769,470619
-39009769,470588
-39009769,470579
-39009769,470570
-39009769,470554
-39009769,470537
-39009769,470519
-39009769,470497
-39009769,471845
-39009769,470480
-39009769,470461
-39009769,470429
-39009769,470401
-39009769,470383
-39009769,470360
-39009769,470327
-39009769,470318
-39009769,470304
-39009769,470192
-39009769,470148
-39009769,470119
-39009769,470077
-39009769,471856
-39009769,470054
-39009769,470044
-39009769,470034
-39009769,470019
-39009769,469999
-39009769,469965
